Parque distribuido por tipo de vehículo, carburante y provincia.
Comunidad Autónoma/Provincia residencia: Andalucía/Almería, Andalucía/Cádiz, Andalucía/Córdoba, Andalucía/Granada, Andalucía/Huelva, Andalucía/Jaén, Andalucía/Málaga, Andalucía/Sevilla, Aragón/Huesca, Aragón/Teruel, Aragón/Zaragoza, Asturias (Principado de)/Asturias, Balears (Illes)/Balears (Illes), Canarias/Palmas (Las), Canarias/Santa Cruz de Tenerife, Cantabria/Cantabria, Castilla y León/Ávila, Castilla y León/Burgos, Castilla y León/León, Castilla y León/Palencia, Castilla y León/Salamanca, Castilla y León/Segovia, Castilla y León/Soria, Castilla y León/Valladolid, Castilla y León/Zamora, Castilla-La Mancha/Albacete, Castilla-La Mancha/Ciudad Real, Castilla-La Mancha/Cuenca, Castilla-La Mancha/Guadalajara, Castilla-La Mancha/Toledo, Cataluña/Barcelona, Cataluña/Girona, Cataluña/Lleida, Cataluña/Tarragona, Ceuta/Ceuta, Comunitat Valenciana/Alicante/Alacant, Comunitat Valenciana/Castellón/Castelló, Comunitat Valenciana/Valencia/València, Desconocida/Desconocido, Extranjero/Extranjero, Extremadura/Badajoz, Extremadura/Cáceres, Galicia/Coruña (A), Galicia/Lugo, Galicia/Ourense, Galicia/Pontevedra, Madrid (Comunidad de)/Madrid, Melilla/Melilla, Murcia (Región de)/Murcia, Navarra (Comunidad Foral de)/Navarra, País Vasco/Araba/Álava, País Vasco/Gipuzkoa, País Vasco/Bizkaia, Rioja (La)/Rioja (La)
Tipo de Vehículo: AUTOBUSES, CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, CUATRICICLOS LIGEROS, FURGONETAS, MOTOCICLETAS, OTROS VEHÍCULOS, REMOLQUES, SEMIRREMOLQUES, TRACTORES INDUSTRIALES, TURISMOS
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Total
TOTAL;TOTAL;TOTAL;36681725
TOTAL;AUTOBUSES;TOTAL;63441
TOTAL;CAMIONES HASTA 3500kg;TOTAL;2169720
TOTAL;CAMIONES MÁS DE 3500kg;TOTAL;345994
TOTAL;CICLOMOTORES;TOTAL;1890360
TOTAL;FURGONETAS;TOTAL;2520482
TOTAL;MOTOCICLETAS;TOTAL;3742226
TOTAL;OTROS VEHÍCULOS;TOTAL;485018
TOTAL;REMOLQUES;TOTAL;214474
TOTAL;SEMIRREMOLQUES;TOTAL;285377
TOTAL;TRACTORES INDUSTRIALES;TOTAL;236634
TOTAL;TURISMOS;TOTAL;24727999
Andalucía/Almería;AUTOBUSES;TOTAL;823
Andalucía/Almería;AUTOBUSES;Diesel;822
Andalucía/Almería;AUTOBUSES;Gasolina;1
Andalucía/Almería;CAMIONES HASTA 3500kg;TOTAL;47951
Andalucía/Almería;CAMIONES HASTA 3500kg;Diesel;47297
Andalucía/Almería;CAMIONES HASTA 3500kg;Eléctrico;9
Andalucía/Almería;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;10
Andalucía/Almería;CAMIONES HASTA 3500kg;Gasolina;635
Andalucía/Almería;CAMIONES MÁS DE 3500kg;TOTAL;8999
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Diesel;8929
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gasolina;66
Andalucía/Almería;CICLOMOTORES;TOTAL;41631
Andalucía/Almería;CICLOMOTORES;Diesel;1189
Andalucía/Almería;CICLOMOTORES;Eléctrico;189
Andalucía/Almería;CICLOMOTORES;Gasolina;40251
Andalucía/Almería;CICLOMOTORES;Sin especificar;2
Andalucía/Almería;FURGONETAS;TOTAL;41544
Andalucía/Almería;FURGONETAS;Diesel;35794
Andalucía/Almería;FURGONETAS;Eléctrico;34
Andalucía/Almería;FURGONETAS;Gas Licuado de Petroleo;32
Andalucía/Almería;FURGONETAS;Gasolina;5681
Andalucía/Almería;FURGONETAS;Otros;1
Andalucía/Almería;FURGONETAS;Sin especificar;2
Andalucía/Almería;MOTOCICLETAS;TOTAL;48312
Andalucía/Almería;MOTOCICLETAS;Diesel;97
Andalucía/Almería;MOTOCICLETAS;Eléctrico;85
Andalucía/Almería;MOTOCICLETAS;Gasolina;48126
Andalucía/Almería;MOTOCICLETAS;Sin especificar;4
Andalucía/Almería;OTROS VEHÍCULOS;TOTAL;8943
Andalucía/Almería;OTROS VEHÍCULOS;Diesel;5914
Andalucía/Almería;OTROS VEHÍCULOS;Eléctrico;38
Andalucía/Almería;OTROS VEHÍCULOS;Gas Licuado de Petroleo;4
Andalucía/Almería;OTROS VEHÍCULOS;Gas Natural Comprimido;1
Andalucía/Almería;OTROS VEHÍCULOS;Gasolina;2833
Andalucía/Almería;OTROS VEHÍCULOS;Otros;4
Andalucía/Almería;OTROS VEHÍCULOS;Sin especificar;149
Andalucía/Almería;REMOLQUES;TOTAL;2598
Andalucía/Almería;REMOLQUES;Sin especificar;2598
Andalucía/Almería;SEMIRREMOLQUES;TOTAL;10733
Andalucía/Almería;SEMIRREMOLQUES;Sin especificar;10733
Andalucía/Almería;TRACTORES INDUSTRIALES;TOTAL;9185
Andalucía/Almería;TRACTORES INDUSTRIALES;Diesel;9185
Andalucía/Almería;TURISMOS;TOTAL;382620
Andalucía/Almería;TURISMOS;Butano;2
Andalucía/Almería;TURISMOS;Diesel;257530
Andalucía/Almería;TURISMOS;Eléctrico;254
Andalucía/Almería;TURISMOS;Etanol;1
Andalucía/Almería;TURISMOS;Gas Licuado de Petroleo;472
Andalucía/Almería;TURISMOS;Gas Natural Comprimido;4
Andalucía/Almería;TURISMOS;Gas Natural Licuado;1
Andalucía/Almería;TURISMOS;Gasolina;124339
Andalucía/Almería;TURISMOS;Otros;14
Andalucía/Almería;TURISMOS;Sin especificar;3
Andalucía/Cádiz;AUTOBUSES;TOTAL;1026
